unixdatetime,value
1542586204,1.78
1542589503,0.03
1542590199,1.05
1542593448,1.29
1542596133,0.7599999999999998
1542598199,1.23
1542601687,0.36
1542602327,0.7200000000000001
1542603250,0.3599999999999999
1542606059,1.26
1542607361,0.13
1542609392,0.15000000000000002
1542610384,1.05
1542613853,1.14
1542615813,1.19
1542618210,0.07
1542621037,0.39999999999999997
1542624583,1.11
1542626352,0.45
1542629797,0.06
1542633026,1.13
1542634087,0.8700000000000001
1542635777,0.20000000000000018
1542638504,1.27
1542640759,0.48
1542642323,0.06000000000000005
1542645509,1.16
1542646316,0.050000000000000044
1542647708,0.2
1542648637,0.20999999999999996
1542650261,0.29
1542652630,1.14
1542653262,0.8200000000000001
1542654308,0.93
1542655687,0.42000000000000004
1542659069,0.15
1542662170,0.47
1542662901,0.77
1542666358,0.82
1542669822,0.11
1542672298,1.24
1542675666,0.82
1542678840,1.08
1542680654,0.59
1542683813,1.19
1542686155,0.9100000000000001
1542688853,0.85
1542691168,0.47
1542692480,1.28
1542696073,0.84
1542697077,0.9900000000000001
1542699506,0.52
1542702915,0.51
1542704357,0.74
1542707771,0.12
1542708866,1.01
1542710441,0.41999999999999993
1542713686,0.02
1542715890,0.54
1542718573,1.08
1542719749,1.16
1542720428,0.44000000000000017
1542722970,0.87
1542724294,0.58
1542725888,0.6799999999999999
1542727307,0.93
1542729728,0.46
1542731278,0.03999999999999998
1542732853,0.77
1542735575,1.1
1542736859,0.38
1542739838,0.8099999999999999
1542742265,0.25
1542743229,0.76
1542744570,1.15
1542746354,1.0500000000000003
1542749642,1.04
1542752354,1.21
1542755237,0.25
1542756697,0.8
1542760206,0.15
1542761538,0.13999999999999999
1542763773,0.13
1542766469,0.66
1542768269,0.46999999999999986
1542769519,0.35
1542771735,0.16000000000000003
1542775182,0.86
1542778107,0.94
1542780263,0.69
1542782944,0.8500000000000001
1542786541,0.25
1542788666,0.61
1542791323,1.06
1542791950,1.12
1542794198,0.3299999999999996
1542796234,0.12
1542799588,0.78
1542802446,0.16
1542805806,0.67
